Pronomen	Persoon	Getal	Vorm	Frequentie
ik	1	Sg	Subject	4353465
je	2	Sg	Subject	2094755
jij	2	Sg	Subject	226245
u	2	Sg	Subject	442786
hij	3	Sg	Subject	2118875
zij	3	Sg	Subject	112850
ze	3	Sg	Subject	617287
het	3	Sg	Subject	117375
wij	1	Pl	Subject	365093
we	1	Pl	Subject	1524057
jullie	2	Pl	Subject	465093
zij	3	Pl	Subject	251691
ze	3	Pl	Subject	1483513
mij	1	Sg	Object	268946
me	1	Sg	Object	170905
jou	2	Sg	Object	85876
je	2	Sg	Object	158651
u	2	Sg	Object	72614
hem	3	Sg	Object	470075
haar	3	Sg	Object	175780
het	3	Sg	Object	95645
ons	1	Pl	Object	323342
jullie	2	Pl	Object	293862
u	2	Pl	Object	218653
hun	3	Pl	Object	15379
hen	3	Pl	Object	166345
ze	3	Pl	Object	69726
